"","PheCode","PheName","pvalue","beta","beta.ci","ICD.9","beta.lb","beta.ub","phe.PM.count","joint.PM.count","AD.PM.count","P.PM.phe.given.AD","P.PM.AD.given.phe","beta.se"
"1",1005,"Other symptoms",0.000155494499912491,1.51248336146538,"[0.728688011553681, 2.29627871137707]","780,780.9,780.91,780.92,780.94,780.95,780.96,780.99,789.7",0.728688011553681,2.29627871137707,851609,6908,194736,0.0354736669131542,0.00811170384530929,0.399902934999916
"2",389,"Hearing loss",0.540571662679886,0.704456176916202,"[-1.55179277146145, 2.96070512529385]","388.2,389,389.2,389.20,389.21,389.22,389.7,389.8,389.9,V41.2,V49.85,V53.2",-1.55179277146145,2.96070512529385,101104,389,194736,0.00199757620573494,0.003847523342301,1.15116857563438
"3",350.2,"Abnormality of gait",0.789664855384277,0.291659918110337,"[-1.85136480792696, 2.43468464414763]","781.2",-1.85136480792696,2.43468464414763,17770,367,194736,0.00188460274422808,0.0206527855936972,1.0934000537465
"4",290,"Delirium dementia and amnestic and other cognitive disorders",0.000835945178935361,1.61878157223748,"[0.669028846702699, 2.56853429777227]","290,290.8,290.9,294,294.0,797,797.0",0.669028846702699,2.56853429777227,437832,98976,194736,0.508257333004683,0.226059310420435,0.484576621318715
"5",331,"Other cerebral degenerations",0.116124792754992,2,"[-0.494784499893552, 4.49478449989355]","330,330.0,330.1,330.2,330.3,330.8,330.9,331,331.6,331.7,331.8,331.81,331.89",-0.494784499893552,4.49478449989355,38195,916,194736,0.00470380412455838,0.0239821966225946,1.27287262397273
"6",781,"Symptoms involving nervous and musculoskeletal systems",0.674232612540938,0.30332501505116,"[-1.11100012619815, 1.71765015630047]","781,781.5,781.6,781.9,781.90,781.99,V13.5,V13.59",-1.11100012619815,1.71765015630047,4430,4,194736,2.05406293648837e-05,0.00090293453724605,0.721607719532262
"7",296.2,"Depression",0.214193375263959,0.755792812139922,"[-0.436789384912672, 1.94837500919252]","296.21,296.31,311",-0.436789384912672,1.94837500919252,353844,7890,194736,0.0405163914222332,0.0222979618136806,0.608471485425003
"8",605,"Erectile dysfunction [ED]",0.147483326329561,0.39765556406113,"[-0.140419860137986, 0.935730988260246]","302.72,607.84",-0.140419860137986,0.935730988260246,76829,561,194736,0.00288082326842494,0.00730193026070885,0.274533322266831
"9",440.2,"Atherosclerosis of the extremities",0.00508877214380624,-1.22957775789251,"[-2.08984853794084, -0.36930697784419]","440.2,440.20,440.22,440.29,440.3,440.30,440.31,440.32,440.4",-2.08984853794084,-0.36930697784419,585,2,194736,1.02703146824419e-05,0.00341880341880342,0.438921728579725
"10",295.3,"Psychosis",0.0286625586546624,2,"[0.208521609443522, 3.79147839055648]","293.81,293.82,298,298.0,298.1,298.8,298.9,298.90",0.208521609443522,3.79147839055648,85288,1779,194736,0.00913544491003204,0.0208587374542726,0.914036382651636
