"","PheCode","PheName","pvalue","beta","beta.ci","ICD.9","beta.lb","beta.ub","phe.PM.count","joint.PM.count","AD.PM.count","P.PM.phe.given.AD","P.PM.AD.given.phe","beta.se"
"1",1005,"Other symptoms",1.01126691884633e-135,1.53012898493542,"[1.40917800303508, 1.65107996683575]","780,780.9,780.91,780.92,780.94,780.95,780.96,780.99,789.7",1.40917800303508,1.65107996683575,851609,6908,194736,0.0354736669131542,0.00811170384530929,0.0617108185938002
"2",389,"Hearing loss",0.0195601257067627,0.553827566589609,"[0.0888893639422262, 1.01876576923699]","388.2,389,389.2,389.20,389.21,389.22,389.7,389.8,389.9,V41.2,V49.85,V53.2",0.0888893639422262,1.01876576923699,101104,389,194736,0.00199757620573494,0.003847523342301,0.237217727629057
"3",350.2,"Abnormality of gait",0.000714725595716023,1.09547652977772,"[0.460967429187492, 1.72998563036794]","781.2",0.460967429187492,1.72998563036794,17770,367,194736,0.00188460274422808,0.0206527855936972,0.323735081662292
"4",290,"Delirium dementia and amnestic and other cognitive disorders",0.0752707764054877,0.92777550590422,"[-0.09448415079783, 1.95003516260627]","290,290.8,290.9,294,294.0,797,797.0",-0.09448415079783,1.95003516260627,437832,98976,194736,0.508257333004683,0.226059310420435,0.521570633320563
"5",331,"Other cerebral degenerations",3.24154109618136e-08,4.26215594036387,"[2.75096230305752, 5.77334957767022]","330,330.0,330.1,330.2,330.3,330.8,330.9,331,331.6,331.7,331.8,331.81,331.89",2.75096230305752,5.77334957767022,38195,916,194736,0.00470380412455838,0.0239821966225946,0.771031329772615
"6",781,"Symptoms involving nervous and musculoskeletal systems",3.74238674517603e-28,1.59684699529152,"[1.31237179368656, 1.88132219689648]","781,781.5,781.6,781.9,781.90,781.99,V13.5,V13.59",1.31237179368656,1.88132219689648,4430,4,194736,2.05406293648837e-05,0.00090293453724605,0.145143076020204
"7",296.2,"Depression",0.000117256538874877,0.730269147512318,"[0.358675567374879, 1.10186272764976]","296.21,296.31,311",0.358675567374879,1.10186272764976,353844,7890,194736,0.0405163914222332,0.0222979618136806,0.189592045092931
"8",605,"Erectile dysfunction [ED]",0.110026551548154,0.364684132673945,"[-0.0825841733578868, 0.811952438705777]","302.72,607.84",-0.0825841733578868,0.811952438705777,76829,561,194736,0.00288082326842494,0.00730193026070885,0.228202308593335
"9",440.2,"Atherosclerosis of the extremities",0.274587206308135,-0.208436143339812,"[-0.582353805832452, 0.165481519152829]","440.2,440.20,440.22,440.29,440.3,440.30,440.31,440.32,440.4",-0.582353805832452,0.165481519152829,585,2,194736,1.02703146824419e-05,0.00341880341880342,0.190777823185556
"10",295.3,"Psychosis",0.0492716290166955,2.06179960515636,"[0.00657437635125868, 4.11702483396146]","293.81,293.82,298,298.0,298.1,298.8,298.9,298.90",0.00657437635125868,4.11702483396146,85288,1779,194736,0.00913544491003204,0.0208587374542726,1.04860356874741
